sequence,commit,authored_at,subject,canonical_task_footers,canonical_gate_footers,footer_status,changed_path_count,changed_paths,historical_scope_verdict,historical_outside_paths,current_scope_verdict,current_outside_paths,footer_disposition,source
10,3d3d90e755fdbcde90ea7fe67f119b18ae1e5c67,2026-07-31T20:36:38+03:00,feat(fnd-004): add host migration composition with verified global order,"[""V1-FND-004""]",[],CANONICAL,26,"[""database/MigrationComposition/order.json"", ""evidence/V1-FND-004/build-host.txt"", ""evidence/V1-FND-004/build-tests.txt"", ""evidence/V1-FND-004/pg-hba-restore.txt"", ""evidence/V1-FND-004/task-scope.txt"", ""evidence/V1-FND-004/test-run.txt"", ""plan/v1/foundation/V1-FND-004-host-migration-composition.md"", ""src/Host/Composition/HostComposition.cs"", ""src/Host/Composition/Migrations/MigrationCompositionValidator.cs"", ""src/Host/Composition/Migrations/MigrationDiscoverer.cs"", ""src/Host/Composition/Migrations/MigrationExecutor.cs"", ""src/Host/Composition/Migrations/MigrationFile.cs"", ""src/Host/Composition/Migrations/MigrationManifest.cs"", ""src/Host/Composition/Migrations/MigrationManifestException.cs"", ""src/Host/Composition/Migrations/PsqlScriptRunner.cs"", ""src/Host/Composition/Modules/ModuleRegistry.cs"", ""src/Host/Program.cs"", ""tests/Host/MigrationComposition/ALKAROS.Host.Tests.csproj"", ""tests/Host/MigrationComposition/Discovery/MigrationDiscovererTests.cs"", ""tests/Host/MigrationComposition/Execution/MigrationExecutionTests.cs"", ""tests/Host/MigrationComposition/Fixtures/TestDatabase.cs"", ""tests/Host/MigrationComposition/Fixtures/TestMigrationSet.cs"", ""tests/Host/MigrationComposition/Manifest/ManifestTests.cs"", ""tests/Host/MigrationComposition/Registry/ModuleRegistryTests.cs"", ""tests/Host/MigrationComposition/Validation/MigrationCompositionValidatorTests.cs"", ""tests/Host/MigrationComposition/packages.lock.json""]",PASS,[],FAIL,"[""database/MigrationComposition/order.json"", ""src/Host/Composition/HostComposition.cs"", ""src/Host/Composition/Migrations/MigrationExecutor.cs"", ""src/Host/Composition/Migrations/PsqlScriptRunner.cs"", ""src/Host/Program.cs"", ""tests/Host/MigrationComposition/Execution/MigrationExecutionTests.cs"", ""tests/Host/MigrationComposition/Manifest/ManifestTests.cs""]",CANONICAL,C52-frozen-2026-08-10
11,2e635c4ce9057b7ae6a438843ece0077bed88b4f,2026-07-31T20:36:45+03:00,feat(fnd-001): register host tests in solution and project manifest,"[""V1-FND-001""]",[],CANONICAL,4,"[""ALKAROS.slnx"", ""evidence/V1-FND-001/solution-scope-update.txt"", ""evidence/V1-FND-001/task-scope-note.md"", ""plan/v1/foundation/V1-FND-001-module-skeleton.md""]",FAIL,"[""ALKAROS.slnx""]",FAIL,"[""ALKAROS.slnx""]",CANONICAL,C52-frozen-2026-08-10
12,ef995511ad72925c4c5ca4ebe46c27b3949e8993,2026-07-31T21:18:46+03:00,build(fnd-001): move SDK to 10.0.302 for slnx support,"[""V1-FND-001""]",[],CANONICAL,3,"[""evidence/V1-FND-001/sdk-upgrade.txt"", ""global.json"", ""plan/v1/foundation/V1-FND-001-module-skeleton.md""]",FAIL,"[""global.json""]",FAIL,"[""global.json""]",CANONICAL,C52-frozen-2026-08-10
13,9105219bb35f01c5d08053a2a55ea72a36aca833,2026-07-31T22:24:34+03:00,feat(transactions): add transaction execution boundary,"[""V1-FND-005""]",[],CANONICAL,29,"[""ALKAROS.sln"", ""ALKAROS.slnx"", ""evidence/V1-FND-005/build-tests.txt"", ""evidence/V1-FND-005/pg-hba-restore.txt"", ""evidence/V1-FND-005/task-scope.txt"", ""evidence/V1-FND-005/test-run.txt"", ""plan/v1/foundation/V1-FND-005-transaction-execution-boundary.md"", ""src/BuildingBlocks/Transactions/ALKAROS.Transactions.csproj"", ""src/BuildingBlocks/Transactions/DefaultRetryClassifier.cs"", ""src/BuildingBlocks/Transactions/IRetryClassifier.cs"", ""src/BuildingBlocks/Transactions/ITransactionContext.cs"", ""src/BuildingBlocks/Transactions/ITransactionResource.cs"", ""src/BuildingBlocks/Transactions/ITransientFailure.cs"", ""src/BuildingBlocks/Transactions/NestedTransactionException.cs"", ""src/BuildingBlocks/Transactions/RetryClassification.cs"", ""src/BuildingBlocks/Transactions/TransactionContext.cs"", ""src/BuildingBlocks/Transactions/TransactionExecutionException.cs"", ""src/BuildingBlocks/Transactions/TransactionOptions.cs"", ""src/BuildingBlocks/Transactions/TransactionRetryPolicy.cs"", ""src/BuildingBlocks/Transactions/TransactionScope.cs"", ""src/BuildingBlocks/Transactions/packages.lock.json"", ""tests/BuildingBlocks/Transactions/ALKAROS.Transactions.Tests.csproj"", ""tests/BuildingBlocks/Transactions/Concurrency/TransactionConcurrencyTests.cs"", ""tests/BuildingBlocks/Transactions/Execution/TransactionExecutionTests.cs"", ""tests/BuildingBlocks/Transactions/Fixtures/RecordingResource.cs"", ""tests/BuildingBlocks/Transactions/Fixtures/SimulatedFailures.cs"", ""tests/BuildingBlocks/Transactions/Propagation/TransactionPropagationTests.cs"", ""tests/BuildingBlocks/Transactions/Retry/TransactionRetryTests.cs"", ""tests/BuildingBlocks/Transactions/packages.lock.json""]",FAIL,"[""ALKAROS.sln"", ""ALKAROS.slnx""]",FAIL,"[""ALKAROS.sln"", ""ALKAROS.slnx"", ""src/BuildingBlocks/Transactions/ALKAROS.Transactions.csproj"", ""src/BuildingBlocks/Transactions/DefaultRetryClassifier.cs"", ""src/BuildingBlocks/Transactions/IRetryClassifier.cs"", ""src/BuildingBlocks/Transactions/ITransactionContext.cs"", ""src/BuildingBlocks/Transactions/ITransactionResource.cs"", ""src/BuildingBlocks/Transactions/ITransientFailure.cs"", ""src/BuildingBlocks/Transactions/NestedTransactionException.cs"", ""src/BuildingBlocks/Transactions/RetryClassification.cs"", ""src/BuildingBlocks/Transactions/TransactionContext.cs"", ""src/BuildingBlocks/Transactions/TransactionExecutionException.cs"", ""src/BuildingBlocks/Transactions/TransactionOptions.cs"", ""src/BuildingBlocks/Transactions/TransactionRetryPolicy.cs"", ""src/BuildingBlocks/Transactions/TransactionScope.cs"", ""src/BuildingBlocks/Transactions/packages.lock.json"", ""tests/BuildingBlocks/Transactions/ALKAROS.Transactions.Tests.csproj"", ""tests/BuildingBlocks/Transactions/Concurrency/TransactionConcurrencyTests.cs"", ""tests/BuildingBlocks/Transactions/Execution/TransactionExecutionTests.cs"", ""tests/BuildingBlocks/Transactions/Fixtures/RecordingResource.cs"", ""tests/BuildingBlocks/Transactions/Fixtures/SimulatedFailures.cs"", ""tests/BuildingBlocks/Transactions/Propagation/TransactionPropagationTests.cs"", ""tests/BuildingBlocks/Transactions/Retry/TransactionRetryTests.cs"", ""tests/BuildingBlocks/Transactions/packages.lock.json""]",CANONICAL,C52-frozen-2026-08-10
14,e578186f4895094218d6926396a616c660bbf5de,2026-07-31T22:24:44+03:00,"chore(plan): mark V1-FND-004 surface as existing, retarget workflow default task-id","[""V1-FND-004""]",[],CANONICAL,2,"["".github/workflows/task-scope.yml"", ""plan/v1/foundation/V1-FND-004-host-migration-composition.md""]",FAIL,"["".github/workflows/task-scope.yml""]",FAIL,"["".github/workflows/task-scope.yml""]",CANONICAL,C52-frozen-2026-08-10
15,f4f7c061c84c429e5ce76f58ac1c3a4f0497e1ad,2026-07-31T22:24:55+03:00,chore(ci): pin RepositoryCommit to current HEAD,"[""V1-FND-005""]",[],CANONICAL,1,"[""Directory.Build.props""]",FAIL,"[""Directory.Build.props""]",FAIL,"[""Directory.Build.props""]",CANONICAL,C52-frozen-2026-08-10
16,6ddf67b4951ecfc7009e29e85c83c7f5d334e921,2026-07-31T22:27:43+03:00,docs(evidence): record findings fix session for V1-FND-005,"[""V1-FND-005""]",[],CANONICAL,1,"[""evidence/V1-FND-005/findings-fix.txt""]",PASS,[],PASS,[],CANONICAL,C52-frozen-2026-08-10
17,142557583233ed6d29505a362ca9e3bcbd1fce0a,2026-07-31T22:37:43+03:00,chore(plan): regenerate audit manifest and report,"[""V1-FND-005""]",[],CANONICAL,2,"[""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md""]",FAIL,"[""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md""]",FAIL,"[""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md""]",CANONICAL,C52-frozen-2026-08-10
18,cc1afa2ae11a20e5fbb91fa830fa482f12f779ef,2026-07-31T22:42:00+03:00,fix(tests): pass database password to Program.Main in exit-code tests,"[""V1-FND-004""]",[],CANONICAL,1,"[""tests/Host/MigrationComposition/Execution/MigrationExecutionTests.cs""]",PASS,[],FAIL,"[""tests/Host/MigrationComposition/Execution/MigrationExecutionTests.cs""]",CANONICAL,C52-frozen-2026-08-10
19,88843a0f8cc1e19c65b8b5dcf99aec18ecccbb27,2026-07-31T22:42:00+03:00,docs(evidence): record PostgreSQL test role credentials procedure,"[""V1-FND-005""]",[],CANONICAL,2,"[""evidence/V1-FND-005/findings-fix.txt"", ""evidence/V1-FND-005/pg-credentials.txt""]",PASS,[],PASS,[],CANONICAL,C52-frozen-2026-08-10
20,952240193e4a03bb69ba32e5a0fe3adbcf35949e,2026-08-01T00:11:51+03:00,feat(security): add secret resolution boundary,"[""V1-SEC-001""]",[],CANONICAL,28,"[""ALKAROS.slnx"", ""evidence/V1-SEC-001/build-solution.txt"", ""evidence/V1-SEC-001/final-write-set.txt"", ""evidence/V1-SEC-001/no-secret-leak.txt"", ""evidence/V1-SEC-001/restore-locked.txt"", ""evidence/V1-SEC-001/task-scope.json"", ""evidence/V1-SEC-001/test-run.txt"", ""plan/v1/security-foundation/V1-SEC-001-secret-resolution-boundary.md"", ""src/BuildingBlocks/Security/Secrets/ALKAROS.Secrets.csproj"", ""src/BuildingBlocks/Security/Secrets/ISecretAccessPolicy.cs"", ""src/BuildingBlocks/Security/Secrets/ISecretProvider.cs"", ""src/BuildingBlocks/Security/Secrets/ISecretResolver.cs"", ""src/BuildingBlocks/Security/Secrets/InMemorySecretProvider.cs"", ""src/BuildingBlocks/Security/Secrets/SecretAccessDeniedException.cs"", ""src/BuildingBlocks/Security/Secrets/SecretNotFoundException.cs"", ""src/BuildingBlocks/Security/Secrets/SecretReference.cs"", ""src/BuildingBlocks/Security/Secrets/SecretResolutionException.cs"", ""src/BuildingBlocks/Security/Secrets/SecretResolver.cs"", ""src/BuildingBlocks/Security/Secrets/SecretStartupValidator.cs"", ""src/BuildingBlocks/Security/Secrets/SecretValue.cs"", ""src/BuildingBlocks/Security/Secrets/packages.lock.json"", ""tests/BuildingBlocks/Security/Secrets/ALKAROS.Secrets.Tests.csproj"", ""tests/BuildingBlocks/Security/Secrets/Fixtures/AllowListSecretAccessPolicy.cs"", ""tests/BuildingBlocks/Security/Secrets/Malformed/SecretReferenceMalformedTests.cs"", ""tests/BuildingBlocks/Security/Secrets/Redaction/SecretRedactionTests.cs"", ""tests/BuildingBlocks/Security/Secrets/Resolution/SecretResolutionTests.cs"", ""tests/BuildingBlocks/Security/Secrets/Validation/SecretStartupValidatorTests.cs"", ""tests/BuildingBlocks/Security/Secrets/packages.lock.json""]",FAIL,"[""ALKAROS.slnx""]",FAIL,"[""ALKAROS.slnx""]",CANONICAL,C52-frozen-2026-08-10
21,585d1fb04174744b409f855a11e27097900fe177,2026-08-01T08:38:42+03:00,feat(security): add sensitive payload boundary,"[""V1-SEC-002""]",[],CANONICAL,34,"[""ALKAROS.slnx"", ""evidence/V1-SEC-002/build-solution.txt"", ""evidence/V1-SEC-002/final-write-set.txt"", ""evidence/V1-SEC-002/no-plaintext-leak.txt"", ""evidence/V1-SEC-002/restore-locked.txt"", ""evidence/V1-SEC-002/task-scope.json"", ""evidence/V1-SEC-002/test-run.txt"", ""plan/v1/security-foundation/V1-SEC-002-sensitive-payload-boundary.md"", ""src/BuildingBlocks/Security/SensitiveData/ALKAROS.SensitiveData.csproj"", ""src/BuildingBlocks/Security/SensitiveData/AesGcmEnvelopeCipher.cs"", ""src/BuildingBlocks/Security/SensitiveData/EnvelopeCiphertext.cs"", ""src/BuildingBlocks/Security/SensitiveData/EnvelopeKeyCodec.cs"", ""src/BuildingBlocks/Security/SensitiveData/IEnvelopeCipher.cs"", ""src/BuildingBlocks/Security/SensitiveData/IPayloadRedactor.cs"", ""src/BuildingBlocks/Security/SensitiveData/IRetentionPolicyHook.cs"", ""src/BuildingBlocks/Security/SensitiveData/ISensitiveDataAccessPolicy.cs"", ""src/BuildingBlocks/Security/SensitiveData/MaxAgeRetentionPolicyHook.cs"", ""src/BuildingBlocks/Security/SensitiveData/PayloadRedactor.cs"", ""src/BuildingBlocks/Security/SensitiveData/SensitiveCategory.cs"", ""src/BuildingBlocks/Security/SensitiveData/SensitiveDataEncryptionException.cs"", ""src/BuildingBlocks/Security/SensitiveData/SensitiveDataException.cs"", ""src/BuildingBlocks/Security/SensitiveData/SensitiveEnvelope.cs"", ""src/BuildingBlocks/Security/SensitiveData/SensitivePayload.cs"", ""src/BuildingBlocks/Security/SensitiveData/SensitivePayloadProtector.cs"", ""src/BuildingBlocks/Security/SensitiveData/UnauthorizedSensitiveReadException.cs"", ""src/BuildingBlocks/Security/SensitiveData/packages.lock.json"", ""tests/BuildingBlocks/Security/SensitiveData/ALKAROS.SensitiveData.Tests.csproj"", ""tests/BuildingBlocks/Security/SensitiveData/Authorization/UnauthorizedReadTests.cs"", ""tests/BuildingBlocks/Security/SensitiveData/Encryption/KeyFailureTests.cs"", ""tests/BuildingBlocks/Security/SensitiveData/Fixtures/SensitiveDataFixtures.cs"", ""tests/BuildingBlocks/Security/SensitiveData/Protection/EnvelopeProtectionTests.cs"", ""tests/BuildingBlocks/Security/SensitiveData/Protection/PayloadRedactionTests.cs"", ""tests/BuildingBlocks/Security/SensitiveData/Retention/RetentionPolicyHookTests.cs"", ""tests/BuildingBlocks/Security/SensitiveData/packages.lock.json""]",FAIL,"[""ALKAROS.slnx""]",FAIL,"[""ALKAROS.slnx"", ""src/BuildingBlocks/Security/SensitiveData/ALKAROS.SensitiveData.csproj"", ""src/BuildingBlocks/Security/SensitiveData/AesGcmEnvelopeCipher.cs"", ""src/BuildingBlocks/Security/SensitiveData/EnvelopeCiphertext.cs"", ""src/BuildingBlocks/Security/SensitiveData/IEnvelopeCipher.cs"", ""src/BuildingBlocks/Security/SensitiveData/SensitiveEnvelope.cs"", ""src/BuildingBlocks/Security/SensitiveData/SensitivePayloadProtector.cs"", ""src/BuildingBlocks/Security/SensitiveData/packages.lock.json"", ""tests/BuildingBlocks/Security/SensitiveData/Fixtures/SensitiveDataFixtures.cs""]",CANONICAL,C52-frozen-2026-08-10
22,2d608bbb962c488c553c935a54e4fcb3e5cbfd78,2026-08-01T09:01:21+03:00,fix(remediation): resolve audit findings under V1-FND-007,"[""V1-FND-007""]",[],CANONICAL,30,"["".github/workflows/task-scope.yml"", "".gitignore"", ""ALKAROS.slnx"", ""build/project-manifest.json"", ""docs/engineering/task-scope-contract.md"", ""evidence/V1-FND-007/ci-diff-mode.txt"", ""evidence/V1-FND-007/findings-fix.txt"", ""evidence/V1-FND-007/git-log-footer.txt"", ""evidence/V1-FND-007/git-status.txt"", ""evidence/V1-FND-007/task-scope.json"", ""evidence/v0/compliance/V0-CMP-003/kvkk-data-inventory.md"", ""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md"", ""plan/GATES.md"", ""plan/TRACEABILITY.md"", ""plan/VALIDATION_CONTRACT.md"", ""plan/v1/foundation/V1-FND-001-module-skeleton.md"", ""plan/v1/foundation/V1-FND-003-codex-task-scope-enforcement.md"", ""plan/v1/foundation/V1-FND-004-host-migration-composition.md"", ""plan/v1/foundation/V1-FND-007-audit-remediation.md"", ""src/BuildingBlocks/ModuleComposition/ModuleCompositionRoot.cs"", ""src/BuildingBlocks/ModuleComposition/Primitives/DomainEvent.cs"", ""src/BuildingBlocks/ModuleComposition/Primitives/Entity.cs"", ""src/BuildingBlocks/ModuleComposition/Primitives/Guard.cs"", ""src/BuildingBlocks/ModuleComposition/Primitives/Result.cs"", ""src/BuildingBlocks/ModuleComposition/Primitives/ValueObject.cs"", ""src/Host/Composition/Migrations/PsqlScriptRunner.cs"", ""tests/Architecture/TaskScope/test_task_scope_diff.py"", ""tools/plan-audit/plan_audit_tool.py"", ""tools/task-scope/task_scope_tool.py""]",FAIL,"[""ALKAROS.slnx""]",FAIL,"[""ALKAROS.slnx"", ""src/BuildingBlocks/ModuleComposition/ModuleCompositionRoot.cs"", ""src/BuildingBlocks/ModuleComposition/Primitives/DomainEvent.cs"", ""src/BuildingBlocks/ModuleComposition/Primitives/Entity.cs"", ""src/BuildingBlocks/ModuleComposition/Primitives/Guard.cs"", ""src/BuildingBlocks/ModuleComposition/Primitives/Result.cs"", ""src/BuildingBlocks/ModuleComposition/Primitives/ValueObject.cs"", ""src/Host/Composition/Migrations/PsqlScriptRunner.cs"", ""tests/Architecture/TaskScope/test_task_scope_diff.py""]",CANONICAL,C52-frozen-2026-08-10
23,cf108b365781ca289a0e09af06dad7d64a6c454d,2026-08-01T09:03:45+03:00,chore(plan): mark V1-FND-007 done and regenerate audit report/manifest,"[""V1-FND-007""]",[],CANONICAL,3,"[""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md"", ""plan/v1/foundation/V1-FND-007-audit-remediation.md""]",PASS,[],PASS,[],CANONICAL,C52-frozen-2026-08-10
24,eeb74d4e92a7b5d68d10cb0b89203047ce9e28d4,2026-08-01T10:08:38+03:00,fix(audit): remediate boundary findings round 2 under V1-FND-008,"[""V1-FND-008""]",[],CANONICAL,26,"[""Directory.Build.props"", ""evidence/V1-FND-008/boundary-audit-14.txt"", ""evidence/V1-FND-008/dotnet-build.txt"", ""evidence/V1-FND-008/dotnet-test.txt"", ""evidence/V1-FND-008/markdownlint.txt"", ""evidence/V1-FND-008/orphan-scan.txt"", ""evidence/V1-FND-008/pytest.txt"", ""evidence/V1-FND-008/rewritten-commits.txt"", ""evidence/V1-FND-008/task-scope-diff.json"", ""evidence/V1-FND-008/task-scope-worktree.json"", ""evidence/V1-FND-008/validate.txt"", ""evidence/V1-FND-008/verify-manifest.txt"", ""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md"", ""plan/GATES.md"", ""plan/TRACEABILITY.md"", ""plan/VALIDATION_CONTRACT.md"", ""plan/v0/domain-contracts/V0-DOM-001-lifecycle-transition-contracts.md"", ""plan/v1/foundation/V1-FND-001-module-skeleton.md"", ""plan/v1/foundation/V1-FND-003-codex-task-scope-enforcement.md"", ""plan/v1/foundation/V1-FND-004-host-migration-composition.md"", ""plan/v1/foundation/V1-FND-007-audit-remediation.md"", ""plan/v1/foundation/V1-FND-008-audit-remediation-round2.md"", ""tests/Architecture/TaskScope/test_task_scope_continuation.py"", ""tools/plan-audit/plan_audit_tool.py"", ""tools/task-scope/task_scope_tool.py""]",FAIL,"[""Directory.Build.props""]",FAIL,"[""Directory.Build.props""]",CANONICAL,C52-frozen-2026-08-10
25,368d4c2c41e89dcfe28f3e0e720c1820467202e8,2026-08-01T10:10:08+03:00,chore(plan): mark V1-FND-008 done and regenerate audit report/manifest,"[""V1-FND-008""]",[],CANONICAL,7,"[""evidence/V1-FND-007/findings-fix.txt"", ""evidence/V1-FND-007/git-log-footer.txt"", ""evidence/V1-FND-008/boundary-audit-15.txt"", ""evidence/V1-FND-008/boundary-audit-final.txt"", ""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md"", ""plan/v1/foundation/V1-FND-008-audit-remediation-round2.md""]",PASS,[],FAIL,"[""evidence/V1-FND-007/findings-fix.txt"", ""evidence/V1-FND-007/git-log-footer.txt""]",CANONICAL,C52-frozen-2026-08-10
26,0af41d8aa5ff294f521055deeffd2e98df7d8715,2026-08-01T11:50:52+03:00,fix(history): rewrite pushed commits with Task/Gate footers and force-push,"[""V1-FND-009""]",[],CANONICAL,13,"[""Directory.Build.props"", ""docs/versioning-strategy.md"", ""evidence/V1-FND-008/boundary-audit-14.txt"", ""evidence/V1-FND-008/boundary-audit-15.txt"", ""evidence/V1-FND-008/boundary-audit-final.txt"", ""evidence/V1-FND-009/boundary-audit-25.txt"", ""evidence/V1-FND-009/rewritten-commits.txt"", ""evidence/V1-FND-009/tag-and-head-verification.txt"", ""evidence/V1-FND-009/task-scope-worktree.json"", ""plan/GATES.md"", ""plan/TRACEABILITY.md"", ""plan/VALIDATION_CONTRACT.md"", ""plan/v1/foundation/V1-FND-009-rewrite-pushed-history.md""]",FAIL,"[""Directory.Build.props""]",FAIL,"[""Directory.Build.props"", ""evidence/V1-FND-008/boundary-audit-14.txt"", ""evidence/V1-FND-008/boundary-audit-15.txt"", ""evidence/V1-FND-008/boundary-audit-final.txt""]",CANONICAL,C52-frozen-2026-08-10
27,2b8a3e47e8cd0d0d9d5a7fd25ae699b698da0d55,2026-08-01T11:57:16+03:00,chore(plan): mark V1-FND-009 done and regenerate audit report/manifest,"[""V1-FND-009""]",[],CANONICAL,11,"[""evidence/V1-FND-009/boundary-audit-final.txt"", ""evidence/V1-FND-009/dotnet-build.txt"", ""evidence/V1-FND-009/dotnet-test.txt"", ""evidence/V1-FND-009/markdownlint.txt"", ""evidence/V1-FND-009/pytest.txt"", ""evidence/V1-FND-009/task-scope-diff.json"", ""evidence/V1-FND-009/validate.txt"", ""evidence/V1-FND-009/verify-manifest.txt"", ""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md"", ""plan/v1/foundation/V1-FND-009-rewrite-pushed-history.md""]",PASS,[],PASS,[],CANONICAL,C52-frozen-2026-08-10
28,63d7f2699d91cb55633bd46b72bfcfbd1ef43d0b,2026-08-01T11:58:10+03:00,docs(evidence): record force-push proof for V1-FND-009,"[""V1-FND-009""]",[],CANONICAL,1,"[""evidence/V1-FND-009/force-push.txt""]",PASS,[],PASS,[],CANONICAL,C52-frozen-2026-08-10
29,b9418a58f96f9382919384ceae96d48648b73c84,2026-08-01T13:15:01+03:00,chore(plan): deepen V1-FND-002 scope with approved plan changes,"[""V1-FND-002""]",[],CANONICAL,2,"[""plan/v1/foundation/V1-FND-002-idempotency-infrastructure.md"", ""plan/v1/foundation/V1-FND-004-host-migration-composition.md""]",PASS,[],FAIL,"[""plan/v1/foundation/V1-FND-004-host-migration-composition.md""]",CANONICAL,C52-frozen-2026-08-10
30,58cffbdde83b65f4f26d887c202089006c14c3d6,2026-08-01T16:07:03+03:00,chore(plan): mark V1-FND-002 as in progress,"[""V1-FND-002""]",[],CANONICAL,1,"[""plan/v1/foundation/V1-FND-002-idempotency-infrastructure.md""]",PASS,[],PASS,[],CANONICAL,C52-frozen-2026-08-10
31,c3bc620237e04aa6d1cb7c5f5dbda5177e9880ba,2026-08-01T16:27:00+03:00,feat(fnd-002): add idempotency inbox outbox migrations and manifest positions,"[""V1-FND-002""]",[],CANONICAL,10,"[""database/MigrationComposition/order.json"", ""database/migrations/V1/V1-FND-002/001-idempotency-keys.down.sql"", ""database/migrations/V1/V1-FND-002/001-idempotency-keys.up.sql"", ""database/migrations/V1/V1-FND-002/002-inbox-messages.down.sql"", ""database/migrations/V1/V1-FND-002/002-inbox-messages.up.sql"", ""database/migrations/V1/V1-FND-002/003-outbox-messages.down.sql"", ""database/migrations/V1/V1-FND-002/003-outbox-messages.up.sql"", ""docs/data/migration-dependency-graph.md"", ""plan/v1/foundation/V1-FND-002-idempotency-infrastructure.md"", ""tests/Host/MigrationComposition/Manifest/ManifestTests.cs""]",FAIL,"[""tests/Host/MigrationComposition/Manifest/ManifestTests.cs""]",FAIL,"[""database/MigrationComposition/order.json"", ""tests/Host/MigrationComposition/Manifest/ManifestTests.cs""]",CANONICAL,C52-frozen-2026-08-10
32,529667b1f2c7e5a9a30d2a3adc72e66d8a3afee7,2026-08-01T17:07:27+03:00,docs(dom-001): add timeout Unknown states to payment and fiscal contracts (CORR:C29),"[""V0-DOM-001""]",[],CANONICAL,6,"[""docs/domain/lifecycle-transition-contracts.md"", ""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md"", ""plan/TRACEABILITY.md"", ""plan/v0/domain-contracts/V0-DOM-001-lifecycle-transition-contracts.md"", ""plan/v1/foundation/V1-FND-002-idempotency-infrastructure.md""]",FAIL,"[""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md"", ""plan/TRACEABILITY.md"", ""plan/v1/foundation/V1-FND-002-idempotency-infrastructure.md""]",FAIL,"[""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md"", ""plan/TRACEABILITY.md"", ""plan/v1/foundation/V1-FND-002-idempotency-infrastructure.md""]",CANONICAL,C52-frozen-2026-08-10
